id,weeks,prod,cust,scen,price
637,11,PEP_P,LV,2,0.425477
638,11,PEP_P,LV,3,0.803519
639,11,PEP_P,LV,4,0.495948
640,11,PEP_P,LV,5,0.375948
641,11,CAUL_P,LA,1,1.21404
642,11,CAUL_P,LA,2,0.646429
643,11,CAUL_P,LA,3,0.885148
644,11,CAUL_P,LA,4,0.778047
645,11,CAUL_P,LA,5,0.653342
646,11,CAUL_P,LV,1,0.900365
647,11,CAUL_P,LV,2,0.575562
648,11,CAUL_P,LV,3,0.741124
649,11,CAUL_P,LV,4,0.718916
650,11,CAUL_P,LV,5,0.651609
651,11,LET_P,LA,1,1.48425
652,11,LET_P,LA,2,0.967164
653,11,LET_P,LA,3,0.615192
654,11,LET_P,LA,4,0.713107
655,11,LET_P,LA,5,0.571794
656,11,LET_P,LV,1,1.17835
657,11,LET_P,LV,2,0.792483
658,11,LET_P,LV,3,0.517621
659,11,LET_P,LV,4,0.590065
660,11,LET_P,LV,5,0.483769
661,12,TOM_P,LA,1,0.40014
662,12,TOM_P,LA,2,0.57618
663,12,TOM_P,LA,3,0.577813
664,12,TOM_P,LA,4,0.521288
665,12,TOM_P,LA,5,0.349839
666,12,TOM_P,LV,1,0.272505
667,12,TOM_P,LV,2,0.462938
668,12,TOM_P,LV,3,0.419015
669,12,TOM_P,LV,4,0.371639
670,12,TOM_P,LV,5,0.320905
671,12,CEL_P,LA,1,0.265916
672,12,CEL_P,LA,2,0.1769
673,12,CEL_P,LA,3,0.974469
674,12,CEL_P,LA,4,0.193921
675,12,CEL_P,LA,5,0.145554
676,12,CEL_P,LV,1,0.241327
677,12,CEL_P,LV,2,0.192905
678,12,CEL_P,LV,3,0.861823
679,12,CEL_P,LV,4,0.233573
680,12,CEL_P,LV,5,0.159842
681,12,CUX_P,LA,1,0.203735
682,12,CUX_P,LA,2,0.16698
683,12,CUX_P,LA,3,0.141656
684,12,CUX_P,LA,4,0.277937
685,12,CUX_P,LA,5,0.195348
686,12,CUX_P,LV,1,0.149803
687,12,CUX_P,LV,2,0.141197
688,12,CUX_P,LV,3,0.114238
689,12,CUX_P,LV,4,0.251025
690,12,CUX_P,LV,5,0.153254
691,12,PEP_P,LA,1,0.541832
692,12,PEP_P,LA,2,0.523112
693,12,PEP_P,LA,3,0.656842
694,12,PEP_P,LA,4,0.571529
695,12,PEP_P,LA,5,0.460154
696,12,PEP_P,LV,1,0.443924
